구간이름,면수,장애면수,정기면수,주소,재입장시간,위도,경도,데이터기준일자
다은,52,3,0,경기도 화성시 동탄구 반송동105,30,37.20094567,127.0730432,2025-11-17
다은(지하),157,8,23,경기도 화성시 동탄구 반송동104-7(동탄중심상가1길21),30,37.20082929,127.0723771,2025-11-17
한빛,60,3,0,경기도 화성시 동탄구 반송동89,30,37.20571742,127.0741443,2025-11-17
한빛(지하),156,8,23,경기도 화성시 동탄구 반송동88-7(동탄중심상가2길21),30,37.20596257,127.0735652,2025-11-17
근린공원4호,53,3,0,경기도 화성시 동탄구 동탄대로21길 19,30,37.20722423,127.0966382,2025-11-17
동탄역임시,349,0,90,경기도 화성시 동탄구 오산동967-117,30,37.2024632,127.0968567,2025-11-17
진안,156,7,40,경기도 화성시 병점구 진안동 874-1(병점동로 110-4),30,37.21361541,127.0398234,2025-11-17
평리,109,6,80,경기도 화성시 만세구 향남읍 평리 124-1(평6길48),30,37.1303894,126.9080339,2025-11-17
남양택지 주3,83,4,0,경기도 화성시 만세구 남양읍남양리2226-7,30,37.21148311,126.8289565,2025-11-17
수노을 중앙공원,325,22,0,경기도 화성시 만세구 꽃내음1길 30,30,37.28207766,126.8162083,2025-11-17
우정(조암),124,5,64,경기도 화성시 만세구 우정읍 조암리 265-1(조암남로33번길6),30,37.08451516,126.8187859,2025-11-17
남양리 중심상가,28,2,0,경기도 화성시 만세구 남양읍남양리2319-3,30,37.19901612,126.8259076,2025-11-17
남양 재래시장,82,5,43,경기도 화성시 만세구 남양읍 남양리 1163-21(남양시장로55번길16),30,37.20943708,126.8166051,2025-11-17
남양리 구도심,41,1,15,경기도 화성시 만세구 남양읍남양리658-2,30,37.20818575,126.8146862,2025-11-17
센트럴파크,175,10,0,경기도 화성시 동탄구 동탄공원로2길 32,30,37.20686934,127.0626738,2025-11-17
병점역(환승),133,8,77,경기도 화성시 병점구 병점동391-2,30,37.20427794,127.0348937,2025-11-17
