"시설명","시설수","총면수","총시설면적","데이터기준일자"
"농구장","56","62","35845.308","2025-12-31"
"배드민턴장","36","84","14568.004","2025-12-31"
"족구장","34","52","23745.2","2025-12-31"
"축구장","33","33","205707","2025-12-31"
"게이트볼장","30","36","15977","2025-12-31"
"풋살구장","23","25","22113.5","2025-12-31"
"기타체육","20","20","50000.41","2025-12-31"
"테니스장","17","54","38187.12","2025-12-31"
"실내체육관","11","30","28170","2025-12-31"
"인라인스케이트장","11","11","9916","2025-12-31"
"야구장","6","6","71605","2025-12-31"
"다목적구장","6","6","2358.5596","2025-12-31"
"궁도장","5","17","45756","2025-12-31"
"X게임장","5","5","7047.63","2025-12-31"
"파크골프장","2","27","28162","2025-12-31"
"스크린파크골프","1","1","27","2025-12-31"
